seed,fold,method,protocol_sha256,measurement_macro_f1,measurement_balanced_accuracy,measurement_accuracy,bearing_macro_f1,bearing_accuracy,D_reliability_spearman,D_reliability_jaccard,budget_error,training_seconds,peak_gpu_mib
42,1,QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.3376756066411239,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.3333333333333333,0.8542025700929365,0.64,1.862645149230957e-09,42.66086260000884,532.5068359375
42,2,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.7090909090909091,0.75,0.75,0.5555555555555555,0.6666666666666666,0.9166080573398386,0.7178770949720671,1.862645149230957e-09,42.732032300002174,532.5068359375
42,2,UNIFORM_DIFFUSION,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.7090909090909091,0.75,0.75,0.5555555555555555,0.6666666666666666,0.9166080573398386,0.7178770949720671,1.862645149230957e-09,42.63606590000563,532.5068359375
42,2,QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.7090909090909091,0.75,0.75,0.5555555555555555,0.6666666666666666,0.9166080573398386,0.7178770949720671,1.862645149230957e-09,42.64775859999645,532.5068359375
42,3,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.40237399731070617,0.4083333333333334,0.4083333333333333,0.3333333333333333,0.3333333333333333,0.9910589336968363,0.8894009216589862,0.0,42.75077549999696,532.5068359375
42,3,UNIFORM_DIFFUSION,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.40740740740740744,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.9910589336968363,0.8894009216589862,0.0,42.72024779999629,532.5068359375
42,3,QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.40740740740740744,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.9910589336968363,0.8894009216589862,0.0,42.617058199990424,532.5068359375
42,4,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.5555555555555555,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.9719898063377139,0.849624060150376,0.0,42.713166600005934,532.5068359375
42,4,UNIFORM_DIFFUSION,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.5555555555555555,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.9719898063377139,0.849624060150376,0.0,42.75479400000768,532.5068359375
42,4,QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.5555555555555555,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.9719898063377139,0.849624060150376,0.0,42.76870839999174,532.5068359375
